id,Danceability
17170,7
17171,5
17172,5
17173,3
17174,7
17175,7
17176,5
17177,3
17178,6
17179,7
17180,4
17181,4
17182,6
17183,7
17184,4
17185,5
17186,5
17187,4
17188,6
17189,4
17190,8
17191,7
17192,6
17193,7
17194,6
17195,8
17196,7
17197,5
17198,5
17199,5
17200,5
17201,2
17202,5
17203,3
17204,7
17205,5
17206,7
17207,3
17208,2
17209,3
17210,4
17211,4
17212,2
17213,6
17214,6
17215,2
17216,7
17217,5
17218,8
17219,6
17220,7
17221,1
17222,3
17223,3
17224,3
17225,2
17226,7
17227,6
17228,5
17229,5
17230,6
17231,5
17232,3
17233,3
17234,2
17235,4
17236,3
17237,3
17238,1
17239,8
17240,2
17241,4
17242,2
17243,6
17244,4
17245,6
17246,5
17247,7
17248,1
17249,6
17250,6
17251,5
17252,6
17253,4
17254,3
17255,7
17256,7
17257,4
17258,4
17259,6
17260,6
17261,4
17262,7
17263,7
17264,5
17265,8
17266,8
17267,6
17268,8
17269,8
17270,8
17271,8
17272,6
17273,7
17274,6
17275,5
17276,4
17277,5
17278,6
17279,5
17280,3
17281,5
17282,6
17283,5
17284,5
17285,6
17286,5
17287,6
17288,8
17289,7
17290,8
17291,6
17292,4
17293,7
17294,8
17295,4
17296,3
17297,3
17298,6
17299,7
17300,7
17301,6
17302,7
17303,1
17304,8
17305,4
17306,6
17307,3
17308,3
17309,6
17310,6
17311,6
17312,5
17313,5
17314,8
17315,6
17316,7
17317,8
17318,6
17319,6
17320,7
17321,6
17322,4
17323,7
17324,5
17325,5
17326,5
17327,1
17328,4
17329,7
17330,5
17331,3
17332,5
17333,6
17334,6
17335,7
17336,6
17337,6
17338,8
17339,7
17340,6
17341,3
17342,5
17343,4
17344,2
17345,3
17346,4
17347,5
17348,4
17349,4
17350,5
17351,3
17352,7
17353,6
17354,8
17355,7
17356,4
17357,8
17358,5
17359,7
17360,7
17361,8
17362,5
17363,7
17364,7
17365,6
17366,7
17367,8
17368,7
17369,6
17370,6
17371,8
17372,3
17373,3
17374,4
17375,4
17376,6
17377,5
17378,3
17379,8
17380,7
17381,7
17382,5
17383,8
17384,8
17385,6
17386,5
17387,6
17388,7
17389,8
17390,6
17391,6
17392,6
17393,7
17394,8
17395,5
17396,8
17397,3
17398,8
17399,4
