id,Danceability
17170,7
17171,4
17172,3
17173,3
17174,7
17175,7
17176,5
17177,4
17178,3
17179,8
17180,4
17181,3
17182,7
17183,4
17184,3
17185,6
17186,5
17187,2
17188,4
17189,5
17190,5
17191,6
17192,6
17193,7
17194,3
17195,8
17196,8
17197,5
17198,7
17199,6
17200,6
17201,1
17202,1
17203,2
17204,6
17205,3
17206,6
17207,2
17208,2
17209,2
17210,5
17211,4
17212,1
17213,7
17214,7
17215,4
17216,7
17217,3
17218,7
17219,6
17220,5
17221,1
17222,5
17223,5
17224,3
17225,2
17226,6
17227,2
17228,5
17229,5
17230,2
17231,3
17232,4
17233,2
17234,2
17235,4
17236,3
17237,2
17238,2
17239,6
17240,1
17241,2
17242,1
17243,7
17244,2
17245,7
17246,3
17247,5
17248,3
17249,7
17250,4
17251,5
17252,5
17253,4
17254,4
17255,7
17256,6
17257,4
17258,5
17259,5
17260,3
17261,5
17262,6
17263,6
17264,7
17265,7
17266,6
17267,4
17268,7
17269,7
17270,7
17271,8
17272,5
17273,6
17274,6
17275,5
17276,3
17277,4
17278,6
17279,7
17280,3
17281,4
17282,2
17283,7
17284,5
17285,6
17286,3
17287,4
17288,8
17289,4
17290,6
17291,6
17292,8
17293,4
17294,7
17295,7
17296,4
17297,5
17298,5
17299,8
17300,8
17301,6
17302,6
17303,1
17304,5
17305,4
17306,6
17307,5
17308,2
17309,8
17310,5
17311,6
17312,6
17313,5
17314,6
17315,8
17316,4
17317,7
17318,6
17319,5
17320,7
17321,5
17322,3
17323,2
17324,3
17325,3
17326,4
17327,2
17328,1
17329,4
17330,3
17331,5
17332,5
17333,6
17334,5
17335,5
17336,7
17337,4
17338,7
17339,5
17340,6
17341,5
17342,4
17343,3
17344,3
17345,2
17346,6
17347,3
17348,4
17349,3
17350,6
17351,3
17352,8
17353,7
17354,4
17355,4
17356,6
17357,6
17358,6
17359,5
17360,2
17361,6
17362,6
17363,6
17364,5
17365,6
17366,2
17367,7
17368,7
17369,7
17370,8
17371,7
17372,4
17373,4
17374,3
17375,4
17376,6
17377,3
17378,1
17379,7
17380,3
17381,8
17382,7
17383,6
17384,8
17385,4
17386,6
17387,8
17388,7
17389,7
17390,7
17391,5
17392,6
17393,7
17394,8
17395,5
17396,7
17397,5
17398,6
17399,4
17400,6
17401,3
17402,4
17403,4
17404,7
17405,7
17406,3
17407,5
17408,7
17409,4
17410,6
17411,5
17412,3
17413,7
17414,7
17415,4
17416,5
17417,7
17418,4
17419,8
17420,5
17421,8
17422,6
17423,2
17424,6
17425,6
17426,4
17427,3
17428,4
17429,3
17430,3
17431,6
17432,6
17433,2
17434,6
17435,5
17436,3
17437,3
17438,5
17439,3
17440,1
17441,5
17442,2
17443,2
17444,5
17445,3
17446,3
17447,6
17448,1
17449,6
17450,5
17451,5
17452,6
17453,7
17454,5
17455,6
17456,5
17457,4
17458,7
17459,7
17460,5
17461,4
17462,3
17463,2
17464,5
17465,2
17466,5
17467,3
17468,4
17469,6
17470,3
17471,6
17472,4
17473,6
17474,6
