id,Danceability
17170,7
17171,6
17172,4
17173,3
17174,7
17175,5
17176,3
17177,5
17178,5
17179,6
17180,5
17181,6
17182,5
17183,6
17184,6
17185,6
17186,5
17187,3
17188,3
17189,7
17190,6
17191,8
17192,7
17193,6
17194,4
17195,8
17196,7
17197,6
17198,7
17199,5
17200,4
17201,3
17202,2
17203,4
17204,8
17205,4
17206,8
17207,4
17208,4
17209,2
17210,6
17211,5
17212,2
17213,7
17214,7
17215,5
17216,5
17217,6
17218,7
17219,7
17220,6
17221,2
17222,5
17223,5
17224,4
17225,3
17226,5
17227,3
17228,2
17229,4
17230,2
17231,4
17232,3
17233,3
17234,3
17235,5
17236,3
17237,4
17238,4
17239,5
17240,2
17241,3
17242,2
17243,5
17244,2
17245,8
17246,5
17247,7
17248,4
17249,5
17250,2
17251,3
17252,4
17253,5
17254,4
17255,7
17256,6
17257,7
17258,4
17259,3
17260,7
17261,6
17262,7
17263,8
17264,7
17265,8
17266,5
17267,6
17268,7
17269,6
17270,8
17271,8
17272,5
17273,6
17274,7
17275,6
17276,3
17277,4
17278,6
17279,8
17280,4
17281,6
17282,4
17283,8
17284,7
17285,7
17286,5
17287,4
17288,9
17289,6
17290,6
17291,7
17292,7
17293,6
17294,7
17295,8
17296,7
17297,4
17298,6
17299,8
17300,8
17301,7
17302,7
17303,1
17304,7
17305,5
17306,6
17307,5
17308,3
17309,7
17310,6
17311,7
17312,6
17313,6
17314,7
17315,7
17316,5
17317,5
17318,4
17319,7
17320,8
17321,6
17322,4
17323,4
17324,3
17325,2
17326,6
17327,2
17328,2
17329,6
17330,4
17331,5
17332,6
17333,7
17334,6
17335,6
17336,6
17337,6
17338,7
17339,6
17340,6
17341,4
17342,6
17343,4
17344,3
17345,3
17346,5
17347,6
17348,6
17349,4
17350,7
17351,5
17352,7
17353,4
17354,6
17355,5
17356,6
17357,6
17358,5
17359,7
17360,6
17361,7
17362,6
17363,8
17364,7
17365,6
17366,4
17367,6
17368,7
17369,7
17370,9
17371,8
17372,7
17373,4
17374,6
17375,6
17376,6
17377,5
17378,3
17379,8
17380,4
17381,6
17382,7
17383,6
17384,8
17385,5
17386,7
17387,7
17388,5
17389,5
17390,7
17391,5
17392,6
17393,7
17394,7
17395,5
17396,8
17397,6
17398,7
17399,5
17400,6
17401,5
17402,3
17403,3
17404,9
17405,9
17406,5
17407,5
17408,5
17409,6
17410,6
17411,7
17412,2
17413,8
17414,7
17415,6
17416,6
17417,7
17418,7
17419,9
17420,7
17421,9
17422,4
17423,1
17424,6
17425,6
17426,4
17427,5
17428,5
17429,5
17430,6
17431,6
17432,6
17433,4
17434,5
17435,5
17436,5
17437,3
17438,7
17439,5
17440,3
17441,6
17442,2
17443,2
17444,7
17445,4
17446,4
17447,7
17448,2
17449,6
17450,6
17451,6
17452,4
17453,6
17454,6
17455,4
17456,5
17457,4
17458,7
17459,8
17460,5
17461,6
17462,4
17463,2
17464,5
17465,3
17466,4
17467,3
17468,5
17469,5
17470,3
17471,6
17472,3
17473,7
17474,5
17475,4
17476,7
17477,5
17478,7
17479,5
17480,6
17481,6
17482,7
17483,6
17484,6
17485,7
17486,9
17487,4
17488,7
17489,4
17490,6
17491,7
17492,5
17493,6
17494,6
17495,6
17496,8
17497,6
17498,5
17499,5
17500,4
17501,4
17502,4
17503,5
17504,6
17505,5
17506,4
17507,6
17508,5
17509,6
17510,6
17511,5
17512,5
17513,6
17514,6
17515,8
17516,5
17517,4
17518,6
17519,4
17520,3
17521,7
17522,7
17523,6
17524,8
17525,6
17526,7
17527,6
17528,7
17529,6
17530,7
17531,6
17532,5
17533,5
17534,7
17535,7
17536,5
17537,5
17538,5
17539,7
17540,7
17541,7
17542,4
17543,4
17544,4
17545,5
17546,5
17547,6
17548,6
17549,3
17550,6
17551,7
17552,4
17553,6
17554,7
17555,5
17556,5
17557,7
17558,6
17559,7
17560,6
17561,6
17562,6
17563,4
17564,8
17565,4
17566,5
17567,2
17568,5
17569,3
17570,2
17571,6
17572,5
17573,3
