,Danceability
0,6.0
1,5.0
2,5.0
3,5.0
4,5.0
5,6.0
6,3.0
7,4.0
8,6.0
9,4.0
10,5.0
11,5.0
12,4.0
13,6.0
14,6.0
15,5.0
16,5.0
17,2.0
18,4.0
19,5.0
20,7.0
21,7.0
22,7.0
23,7.0
24,6.0
25,7.0
26,6.0
27,8.0
28,6.0
29,4.0
30,4.0
31,4.0
32,2.0
33,2.0
34,7.0
35,6.0
36,3.0
37,2.0
38,3.0
39,3.0
40,3.0
41,4.0
42,1.0
43,7.0
44,7.0
45,5.0
46,7.0
47,7.0
48,5.0
49,6.0
50,6.0
51,2.0
52,5.0
53,4.0
54,4.0
55,5.0
56,7.0
57,4.0
58,6.0
59,5.0
60,3.0
61,4.0
62,5.0
63,2.0
64,3.0
65,5.0
66,3.0
67,3.0
68,1.0
69,4.0
70,1.0
71,4.0
72,1.0
73,4.0
74,3.0
75,3.0
76,5.0
77,6.0
78,3.0
79,6.0
80,3.0
81,6.0
82,5.0
83,4.0
84,5.0
85,3.0
86,7.0
87,8.0
88,4.0
89,3.0
90,5.0
91,7.0
92,8.0
93,7.0
94,4.0
95,6.0
96,2.0
97,6.0
98,6.0
99,7.0
100,7.0
101,7.0
102,7.0
103,6.0
104,7.0
105,7.0
106,5.0
107,5.0
108,5.0
109,3.0
110,3.0
111,7.0
112,2.0
113,6.0
114,6.0
115,6.0
116,5.0
117,3.0
118,5.0
119,5.0
120,6.0
121,5.0
122,3.0
123,6.0
124,6.0
125,7.0
126,5.0
127,6.0
128,7.0
129,7.0
130,7.0
131,5.0
132,7.0
133,2.0
134,8.0
135,5.0
136,4.0
137,6.0
138,7.0
139,4.0
140,6.0
141,7.0
142,4.0
143,6.0
144,8.0
145,6.0
146,6.0
147,6.0
148,5.0
149,5.0
150,7.0
151,3.0
152,6.0
153,1.0
154,5.0
155,4.0
156,4.0
157,3.0
158,2.0
159,6.0
160,4.0
161,4.0
162,5.0
163,3.0
164,3.0
165,4.0
166,6.0
167,5.0
168,8.0
169,7.0
170,6.0
171,4.0
172,3.0
173,2.0
174,1.0
175,3.0
176,7.0
177,7.0
178,7.0
179,4.0
180,7.0
181,6.0
182,6.0
183,6.0
184,5.0
185,7.0
186,6.0
187,7.0
188,6.0
189,8.0
190,7.0
191,7.0
192,6.0
193,8.0
194,7.0
195,7.0
196,6.0
197,6.0
198,6.0
199,7.0
200,8.0
201,8.0
202,4.0
203,5.0
204,3.0
205,5.0
206,6.0
207,0.0
208,1.0
209,7.0
210,6.0
211,6.0
212,5.0
213,7.0
214,8.0
215,4.0
216,4.0
217,6.0
218,7.0
219,5.0
220,7.0
221,6.0
222,7.0
223,6.0
224,6.0
225,7.0
226,8.0
227,5.0
228,5.0
229,5.0
230,5.0
231,4.0
232,6.0
233,5.0
234,5.0
235,8.0
236,2.0
237,3.0
238,4.0
239,7.0
240,2.0
241,6.0
242,1.0
243,6.0
244,5.0
245,6.0
246,6.0
247,6.0
248,4.0
249,8.0
250,4.0
251,5.0
252,2.0
253,2.0
254,6.0
255,6.0
256,5.0
257,5.0
258,1.0
259,7.0
260,5.0
261,6.0
262,7.0
263,5.0
264,7.0
265,5.0
266,3.0
267,3.0
268,7.0
269,5.0
270,3.0
271,6.0
272,2.0
273,5.0
274,5.0
275,4.0
276,1.0
277,6.0
278,1.0
279,5.0
280,6.0
281,6.0
282,5.0
283,7.0
284,5.0
285,4.0
286,6.0
287,6.0
288,7.0
289,7.0
290,4.0
291,6.0
292,3.0
293,4.0
294,5.0
295,2.0
296,2.0
297,4.0
298,5.0
299,5.0
300,3.0
301,7.0
302,5.0
303,7.0
304,5.0
305,3.0
306,7.0
307,5.0
308,7.0
309,4.0
310,4.0
311,4.0
312,5.0
313,6.0
314,7.0
315,7.0
316,8.0
317,5.0
318,6.0
319,3.0
320,7.0
321,7.0
322,6.0
323,6.0
324,6.0
325,2.0
326,6.0
327,4.0
328,6.0
329,6.0
330,3.0
331,3.0
332,4.0
333,2.0
334,3.0
335,2.0
336,1.0
337,3.0
338,3.0
339,7.0
340,7.0
341,7.0
342,6.0
343,4.0
344,7.0
345,6.0
346,6.0
347,4.0
348,6.0
349,7.0
350,4.0
351,6.0
352,6.0
353,5.0
354,5.0
355,7.0
356,6.0
357,4.0
358,4.0
359,7.0
360,4.0
361,6.0
362,4.0
363,2.0
364,5.0
365,6.0
366,4.0
367,7.0
368,7.0
369,6.0
370,8.0
371,6.0
372,4.0
373,7.0
374,5.0
375,4.0
376,5.0
377,6.0
378,5.0
379,4.0
380,6.0
381,7.0
382,4.0
383,5.0
384,7.0
385,6.0
386,6.0
387,4.0
388,6.0
389,6.0
390,7.0
391,6.0
392,3.0
393,4.0
394,3.0
395,4.0
396,6.0
397,2.0
398,5.0
399,2.0
400,3.0
401,8.0
402,6.0
403,5.0
404,4.0
405,4.0
406,2.0
407,6.0
408,7.0
409,7.0
410,6.0
411,8.0
412,4.0
413,5.0
414,5.0
415,6.0
416,6.0
417,5.0
418,5.0
419,6.0
420,7.0
421,7.0
422,5.0
423,3.0
424,4.0
425,7.0
426,2.0
427,4.0
428,3.0
429,6.0
430,3.0
431,6.0
432,6.0
433,3.0
434,5.0
435,3.0
436,1.0
437,5.0
438,5.0
439,6.0
440,3.0
441,5.0
442,4.0
443,8.0
444,1.0
445,2.0
446,5.0
447,3.0
448,3.0
