,Danceability
0,6.0
1,6.0
2,5.0
3,4.0
4,5.0
5,6.0
6,4.0
7,4.0
8,6.0
9,3.0
10,5.0
11,5.0
12,4.0
13,6.0
14,6.0
15,5.0
16,5.0
17,3.0
18,4.0
19,5.0
20,8.0
21,7.0
22,7.0
23,6.0
24,6.0
25,8.0
26,6.0
27,7.0
28,7.0
29,4.0
30,4.0
31,5.0
32,1.0
33,1.0
34,7.0
35,6.0
36,3.0
37,2.0
38,3.0
39,4.0
40,4.0
41,5.0
42,2.0
43,7.0
44,6.0
45,5.0
46,6.0
47,7.0
48,5.0
49,6.0
50,6.0
51,1.0
52,4.0
53,4.0
54,3.0
55,4.0
56,7.0
57,4.0
58,6.0
59,5.0
60,2.0
61,4.0
62,5.0
63,3.0
64,3.0
65,5.0
66,2.0
67,3.0
68,1.0
69,4.0
70,1.0
71,4.0
72,2.0
73,3.0
74,2.0
75,4.0
76,5.0
77,7.0
78,4.0
79,6.0
80,2.0
81,6.0
82,4.0
83,4.0
84,5.0
85,4.0
86,7.0
87,9.0
88,5.0
89,3.0
90,6.0
91,6.0
92,8.0
93,8.0
94,4.0
95,6.0
96,1.0
97,6.0
98,6.0
99,7.0
100,7.0
101,6.0
102,7.0
103,6.0
104,7.0
105,7.0
106,5.0
107,5.0
108,5.0
109,4.0
110,4.0
111,7.0
112,0.0
113,6.0
114,6.0
115,7.0
116,5.0
117,4.0
118,5.0
119,5.0
120,6.0
121,4.0
122,4.0
123,6.0
124,7.0
125,7.0
126,6.0
127,6.0
128,7.0
129,7.0
130,7.0
131,5.0
132,7.0
133,3.0
134,7.0
135,6.0
136,4.0
137,6.0
138,6.0
139,5.0
140,6.0
141,7.0
142,4.0
143,6.0
144,8.0
145,6.0
146,7.0
147,7.0
148,5.0
149,4.0
150,7.0
151,4.0
152,5.0
153,2.0
154,5.0
155,4.0
156,6.0
157,4.0
158,2.0
159,6.0
160,4.0
161,4.0
162,5.0
163,3.0
164,3.0
165,5.0
166,6.0
167,5.0
168,8.0
169,6.0
170,6.0
171,7.0
172,4.0
173,2.0
174,2.0
175,3.0
176,7.0
177,7.0
178,7.0
179,3.0
180,7.0
181,6.0
182,5.0
183,7.0
184,5.0
185,6.0
186,6.0
187,7.0
188,6.0
189,8.0
190,7.0
191,7.0
192,6.0
193,7.0
194,7.0
195,6.0
196,5.0
197,7.0
198,6.0
199,6.0
200,8.0
201,6.0
202,5.0
203,5.0
204,4.0
205,5.0
206,5.0
207,0.0
208,2.0
209,7.0
210,6.0
211,5.0
212,5.0
213,7.0
214,8.0
215,3.0
216,5.0
217,5.0
218,7.0
219,6.0
220,7.0
221,7.0
222,8.0
223,6.0
224,5.0
225,6.0
226,8.0
227,4.0
228,5.0
229,5.0
230,5.0
231,4.0
232,6.0
233,3.0
234,5.0
235,6.0
236,3.0
237,4.0
238,4.0
239,7.0
240,2.0
241,6.0
242,3.0
243,5.0
244,6.0
245,5.0
246,7.0
247,6.0
248,5.0
249,7.0
250,4.0
251,5.0
252,2.0
253,1.0
254,7.0
255,6.0
256,5.0
257,5.0
258,2.0
259,6.0
260,5.0
261,6.0
262,6.0
263,5.0
264,6.0
265,4.0
266,5.0
267,2.0
268,6.0
269,5.0
270,2.0
271,4.0
272,1.0
273,4.0
274,4.0
275,5.0
276,2.0
277,6.0
278,2.0
279,6.0
280,6.0
281,7.0
282,5.0
283,8.0
284,6.0
285,4.0
286,7.0
287,6.0
288,7.0
289,7.0
290,4.0
291,6.0
292,3.0
293,4.0
294,6.0
295,2.0
296,2.0
297,4.0
298,6.0
299,5.0
300,4.0
301,7.0
302,4.0
303,7.0
304,5.0
305,4.0
306,7.0
307,6.0
308,7.0
309,4.0
310,5.0
311,4.0
312,6.0
313,7.0
314,7.0
315,5.0
316,6.0
317,5.0
318,6.0
319,4.0
320,7.0
321,7.0
322,7.0
323,6.0
324,6.0
325,3.0
326,6.0
327,5.0
328,8.0
329,5.0
330,3.0
331,4.0
332,4.0
333,1.0
334,3.0
335,2.0
336,3.0
337,2.0
338,3.0
339,8.0
340,6.0
341,6.0
342,6.0
343,5.0
344,6.0
345,6.0
346,5.0
347,4.0
348,5.0
349,7.0
350,3.0
351,7.0
352,6.0
353,5.0
354,6.0
355,6.0
356,6.0
357,3.0
358,5.0
359,7.0
360,5.0
361,6.0
362,5.0
363,4.0
364,6.0
365,5.0
366,5.0
367,8.0
368,7.0
369,6.0
370,7.0
371,6.0
372,5.0
373,7.0
374,6.0
375,7.0
376,6.0
377,6.0
378,6.0
379,5.0
380,6.0
381,7.0
382,5.0
383,5.0
384,7.0
385,6.0
386,5.0
387,5.0
388,6.0
389,7.0
390,8.0
391,5.0
392,4.0
393,5.0
394,4.0
395,7.0
396,5.0
397,2.0
398,5.0
399,2.0
400,3.0
401,7.0
402,5.0
403,5.0
404,5.0
405,4.0
406,3.0
407,5.0
408,7.0
409,7.0
410,6.0
411,7.0
412,4.0
413,5.0
414,6.0
415,6.0
416,5.0
417,5.0
418,6.0
419,7.0
420,7.0
421,7.0
422,5.0
423,3.0
424,5.0
425,6.0
426,1.0
427,3.0
428,3.0
429,6.0
430,3.0
431,6.0
432,6.0
433,4.0
434,4.0
435,2.0
436,1.0
437,5.0
438,5.0
439,6.0
440,3.0
441,5.0
442,3.0
443,7.0
444,1.0
445,2.0
446,5.0
447,4.0
448,2.0
449,3.0
450,6.0
451,3.0
452,5.0
453,4.0
454,3.0
455,4.0
456,7.0
457,3.0
458,3.0
459,4.0
460,8.0
461,3.0
462,5.0
463,3.0
464,4.0
465,4.0
466,5.0
467,3.0
468,3.0
469,5.0
470,5.0
471,2.0
472,5.0
473,5.0
474,5.0
475,3.0
476,4.0
477,4.0
478,4.0
479,0.0
480,5.0
481,3.0
482,2.0
483,6.0
484,3.0
485,2.0
486,2.0
487,1.0
488,2.0
489,1.0
490,1.0
491,-1.0
492,1.0
493,1.0
494,1.0
495,0.0
496,-1.0
497,6.0
498,3.0
499,3.0
500,3.0
501,1.0
502,5.0
503,3.0
504,3.0
505,2.0
506,6.0
507,2.0
508,2.0
509,3.0
510,3.0
511,7.0
512,6.0
513,5.0
514,4.0
515,4.0
516,4.0
517,1.0
518,3.0
519,2.0
520,5.0
521,5.0
522,2.0
523,2.0
524,5.0
525,6.0
526,3.0
527,0.0
528,1.0
529,2.0
530,2.0
531,4.0
532,5.0
533,5.0
534,5.0
