id,Danceability
17170,7
17171,7
17172,5
17173,6
17174,6
17175,6
17176,4
17177,4
17178,5
17179,4
17180,5
17181,5
17182,3
17183,6
17184,6
17185,5
17186,5
17187,2
17188,4
17189,5
17190,7
17191,7
17192,6
17193,6
17194,6
17195,7
17196,7
17197,7
17198,5
17199,4
17200,4
17201,4
17202,2
17203,1
17204,7
17205,6
17206,4
17207,2
17208,3
17209,4
17210,5
17211,5
17212,2
17213,7
17214,7
17215,6
17216,6
17217,7
17218,5
17219,6
17220,6
17221,2
17222,4
17223,5
17224,5
17225,4
17226,8
17227,4
17228,6
17229,5
17230,4
17231,5
17232,5
17233,3
17234,3
17235,4
17236,3
17237,3
17238,1
17239,5
17240,1
17241,4
17242,2
17243,4
17244,4
17245,3
17246,5
17247,7
17248,4
17249,6
17250,3
17251,5
17252,3
17253,5
17254,6
17255,4
17256,7
17257,8
17258,5
17259,3
17260,6
17261,6
17262,8
17263,7
17264,5
17265,5
17266,2
17267,6
17268,6
17269,7
17270,7
17271,6
17272,7
17273,6
17274,6
17275,7
17276,6
17277,5
17278,4
17279,4
17280,5
17281,7
17282,2
17283,5
17284,5
17285,6
17286,5
17287,4
17288,5
17289,4
17290,6
17291,4
17292,3
17293,6
17294,6
17295,7
17296,7
17297,6
17298,7
17299,7
17300,8
17301,5
17302,6
17303,3
17304,8
17305,5
17306,5
17307,6
17308,7
17309,5
17310,7
17311,7
17312,4
17313,6
17314,7
17315,6
17316,6
17317,6
17318,4
17319,4
17320,7
17321,3
17322,6
17323,2
17324,5
17325,4
17326,5
17327,3
17328,2
17329,7
17330,4
17331,5
17332,6
17333,3
17334,3
17335,4
17336,6
17337,5
17338,7
17339,7
17340,7
17341,3
17342,4
17343,2
17344,1
17345,3
17346,7
17347,6
17348,7
17349,4
17350,7
17351,6
17352,6
17353,6
17354,4
17355,7
17356,6
17357,7
17358,5
17359,8
17360,7
17361,7
17362,5
17363,7
17364,7
17365,6
17366,6
17367,6
17368,6
17369,6
17370,7
17371,7
17372,3
17373,4
17374,2
17375,5
17376,5
17377,1
17378,1
17379,7
17380,6
17381,4
17382,5
17383,7
17384,8
17385,4
17386,5
17387,5
17388,7
17389,5
17390,7
17391,6
17392,8
17393,6
17394,6
17395,6
17396,8
17397,4
17398,5
17399,5
17400,5
17401,3
17402,6
17403,4
17404,5
17405,7
17406,2
17407,4
17408,4
17409,7
17410,1
17411,6
17412,3
17413,6
17414,6
17415,5
17416,6
17417,6
17418,5
17419,8
17420,3
17421,6
17422,3
17423,3
17424,7
17425,7
17426,6
17427,5
17428,2
17429,6
17430,5
17431,6
17432,7
17433,5
17434,6
17435,4
17436,4
17437,3
17438,6
17439,5
17440,3
17441,5
17442,2
17443,3
17444,5
17445,6
17446,2
17447,6
17448,1
17449,6
17450,6
17451,6
17452,5
17453,7
17454,5
17455,4
17456,7
17457,5
17458,7
17459,7
17460,5
17461,6
17462,3
17463,4
17464,6
17465,1
17466,2
17467,4
17468,6
17469,5
17470,3
17471,7
17472,4
17473,7
17474,5
17475,4
17476,6
17477,5
17478,7
17479,5
17480,5
17481,4
17482,5
17483,7
17484,6
17485,6
17486,6
17487,5
17488,6
17489,3
17490,7
17491,6
17492,6
17493,6
17494,6
17495,3
17496,6
17497,5
17498,6
17499,6
17500,4
17501,4
17502,4
17503,2
17504,3
17505,3
17506,2
17507,3
17508,3
17509,7
17510,6
17511,6
17512,6
17513,4
17514,6
17515,6
17516,5
17517,5
17518,6
17519,7
17520,4
17521,6
17522,6
17523,5
17524,6
17525,6
17526,6
17527,4
17528,6
17529,6
17530,4
17531,7
17532,4
17533,3
17534,6
17535,5
17536,5
17537,8
17538,7
17539,6
17540,8
17541,6
17542,3
17543,7
17544,6
17545,5
17546,5
17547,7
17548,6
17549,4
17550,6
17551,6
17552,5
17553,5
17554,7
17555,6
17556,6
17557,5
17558,6
17559,6
17560,7
17561,6
17562,3
17563,3
17564,4
17565,4
17566,7
17567,2
17568,5
17569,2
17570,4
17571,8
17572,5
17573,5
17574,4
17575,4
17576,3
17577,6
17578,6
17579,7
17580,6
17581,7
17582,5
17583,5
17584,6
17585,6
17586,5
17587,6
17588,5
17589,7
17590,7
17591,7
17592,5
17593,2
17594,4
17595,7
17596,2
17597,4
17598,3
17599,6
17600,3
17601,6
17602,5
17603,4
17604,4
17605,3
17606,1
17607,6
17608,5
17609,5
17610,2
17611,5
17612,4
17613,7
17614,1
17615,1
17616,6
17617,4
17618,3
17619,3
17620,6
17621,4
17622,6
17623,4
17624,4
17625,5
17626,7
17627,4
17628,3
17629,4
17630,7
17631,3
17632,6
17633,3
17634,4
17635,4
17636,5
17637,3
17638,2
17639,5
17640,4
17641,2
17642,4
17643,4
17644,5
17645,3
17646,5
17647,2
17648,4
17649,2
17650,6
17651,3
17652,2
17653,6
17654,3
17655,3
17656,2
17657,1
17658,1
17659,1
17660,2
17661,0
17662,1
17663,1
17664,1
17665,1
17666,0
17667,5
17668,2
17669,4
17670,3
17671,1
17672,4
17673,2
17674,3
17675,3
17676,6
17677,3
17678,3
17679,3
17680,4
17681,7
17682,7
17683,5
17684,4
17685,5
17686,4
17687,2
17688,2
17689,2
17690,5
17691,6
17692,3
17693,1
17694,4
17695,5
17696,3
17697,1
17698,1
17699,1
17700,2
17701,3
17702,5
17703,6
17704,5
17705,6
17706,5
17707,4
17708,6
17709,4
17710,4
17711,1
17712,6
17713,3
17714,2
17715,1
17716,3
17717,1
17718,4
17719,4
17720,4
17721,1
17722,0
17723,2
17724,2
17725,2
17726,3
17727,4
17728,2
17729,3
17730,7
17731,5
17732,4
17733,3
17734,7
17735,5
17736,5
17737,4
17738,6
17739,2
17740,5
17741,2
17742,7
17743,8
17744,3
17745,6
17746,4
17747,6
17748,3
17749,3
17750,6
17751,2
17752,5
17753,4
17754,5
17755,6
17756,6
17757,6
17758,6
17759,2
17760,1
17761,2
17762,2
17763,6
17764,1
17765,6
17766,3
17767,7
17768,7
17769,4
17770,5
17771,5
17772,5
17773,6
17774,6
17775,5
17776,6
17777,4
17778,5
17779,6
17780,5
17781,5
17782,4
17783,8
17784,6
17785,3
17786,6
17787,3
17788,4
17789,6
17790,3
17791,5
17792,4
17793,5
17794,3
17795,8
17796,7
17797,7
17798,7
17799,5
17800,5
17801,3
17802,7
17803,6
17804,7
17805,5
17806,6
17807,5
17808,1
17809,7
17810,7
17811,3
17812,5
17813,4
17814,5
17815,3
17816,5
17817,3
17818,6
17819,6
17820,7
17821,3
17822,3
17823,7
17824,4
17825,7
17826,5
17827,5
17828,7
17829,6
17830,3
17831,6
17832,6
17833,2
17834,4
17835,7
17836,4
17837,2
17838,5
17839,3
17840,4
17841,7
17842,6
17843,5
17844,7
17845,7
17846,6
17847,6
17848,6
17849,7
17850,7
17851,4
17852,5
17853,7
17854,6
17855,2
17856,5
17857,6
17858,6
17859,7
17860,8
17861,4
17862,4
17863,5
17864,6
17865,7
17866,8
17867,3
17868,5
17869,7
17870,4
17871,2
17872,7
17873,7
17874,5
17875,0
17876,4
17877,5
17878,6
17879,5
17880,2
17881,2
17882,3
17883,3
17884,7
17885,4
17886,3
17887,5
17888,5
17889,7
17890,5
17891,4
17892,3
17893,2
17894,5
17895,6
17896,7
17897,5
17898,8
17899,1
17900,6
17901,7
17902,8
17903,7
17904,6
17905,5
17906,6
17907,7
17908,2
17909,5
17910,7
17911,3
17912,3
17913,4
17914,3
17915,7
17916,3
17917,5
17918,5
17919,3
17920,3
17921,1
17922,2
17923,6
17924,6
17925,3
17926,2
17927,5
17928,4
17929,5
17930,2
17931,3
17932,6
17933,6
17934,6
17935,4
17936,7
17937,6
17938,5
17939,3
17940,2
17941,7
17942,7
17943,5
17944,3
17945,4
17946,4
17947,5
17948,4
17949,4
17950,4
17951,3
17952,7
17953,1
17954,6
17955,5
17956,7
17957,5
17958,7
17959,5
17960,5
17961,5
17962,4
17963,8
17964,6
17965,6
17966,7
17967,3
17968,7
17969,5
17970,5
17971,6
17972,7
17973,8
17974,7
17975,5
17976,6
17977,6
17978,7
17979,6
17980,6
17981,6
17982,4
17983,6
17984,6
17985,7
17986,6
17987,6
17988,7
17989,7
17990,7
17991,7
17992,2
17993,6
17994,4
17995,5
17996,7
17997,6
17998,7
17999,5
18000,8
18001,6
18002,5
18003,2
18004,3
18005,4
18006,4
18007,3
18008,8
18009,4
18010,5
18011,4
18012,2
18013,7
18014,3
18015,5
18016,3
18017,6
18018,2
18019,5
18020,7
18021,6
18022,6
18023,4
18024,5
18025,6
18026,5
18027,6
18028,3
18029,1
18030,0
18031,5
18032,2
18033,1
18034,5
18035,0
18036,5
18037,0
18038,4
18039,6
18040,4
18041,7
18042,5
18043,3
18044,4
18045,3
18046,5
18047,4
18048,4
18049,3
18050,5
18051,5
18052,1
18053,6
18054,2
18055,5
18056,5
18057,5
18058,5
18059,4
18060,5
18061,3
18062,5
18063,6
18064,2
18065,3
18066,7
18067,7
18068,6
18069,5
18070,4
18071,4
18072,5
18073,6
18074,7
18075,5
18076,4
18077,6
18078,6
18079,4
18080,6
18081,6
18082,5
18083,5
18084,7
18085,6
18086,6
18087,4
18088,7
18089,5
18090,5
18091,1
18092,4
18093,2
18094,3
18095,5
18096,5
18097,4
18098,3
18099,4
18100,4
18101,6
18102,5
18103,5
18104,7
18105,6
18106,5
18107,4
18108,2
18109,6
18110,4
18111,6
18112,5
18113,4
18114,7
18115,3
18116,3
18117,5
18118,7
18119,5
18120,5
18121,4
18122,5
18123,2
18124,6
18125,6
18126,1
18127,5
18128,5
18129,4
18130,5
18131,4
18132,4
18133,3
18134,4
18135,2
18136,4
18137,5
18138,6
18139,6
18140,2
18141,5
18142,4
18143,3
18144,5
18145,8
18146,4
18147,3
18148,5
18149,4
18150,7
18151,7
18152,7
18153,5
18154,4
18155,5
18156,6
18157,8
18158,2
18159,6
18160,6
18161,5
18162,6
18163,5
18164,4
18165,5
18166,4
18167,5
18168,4
18169,7
18170,7
18171,6
18172,4
18173,6
18174,7
18175,7
18176,6
18177,3
18178,5
18179,5
18180,6
18181,5
18182,8
18183,5
18184,6
18185,7
18186,4
18187,5
18188,3
18189,1
18190,2
18191,4
18192,7
18193,3
18194,3
18195,7
18196,5
18197,3
18198,1
18199,3
18200,2
18201,0
18202,2
18203,0
18204,1
18205,1
18206,5
18207,3
18208,5
18209,2
18210,6
18211,6
18212,7
18213,4
18214,7
18215,6
18216,5
18217,7
18218,5
18219,7
18220,6
18221,2
18222,6
18223,6
18224,7
18225,3
18226,4
18227,5
18228,6
18229,8
18230,5
18231,5
18232,2
18233,4
18234,6
18235,5
18236,5
18237,5
18238,2
18239,6
18240,7
18241,4
18242,6
18243,5
18244,5
18245,6
18246,5
18247,5
18248,7
18249,3
18250,5
18251,5
18252,6
18253,4
18254,4
18255,6
18256,4
18257,5
18258,2
18259,6
18260,4
18261,4
18262,2
18263,3
18264,2
18265,4
18266,1
18267,3
18268,3
18269,6
18270,4
18271,4
18272,4
18273,4
18274,7
18275,5
18276,2
18277,4
18278,4
18279,6
18280,6
18281,5
18282,4
18283,7
18284,2
18285,6
18286,2
18287,5
18288,4
18289,6
18290,5
18291,8
18292,7
18293,6
18294,4
18295,3
18296,4
18297,6
18298,4
18299,5
18300,5
18301,4
18302,3
18303,5
18304,6
18305,3
18306,5
18307,2
18308,6
18309,5
18310,7
18311,6
18312,6
18313,6
18314,5
18315,4
18316,5
18317,3
18318,1
18319,2
18320,1
18321,3
18322,1
18323,6
18324,0
18325,7
18326,7
18327,8
18328,3
18329,7
18330,3
18331,6
18332,4
18333,3
18334,3
18335,4
18336,5
18337,4
18338,2
18339,3
18340,2
18341,5
18342,3
18343,5
18344,6
18345,4
18346,3
18347,4
18348,2
18349,2
18350,3
18351,7
18352,6
18353,7
18354,4
18355,2
18356,4
18357,3
18358,7
18359,6
18360,6
18361,1
18362,5
18363,6
18364,7
18365,3
18366,6
18367,4
18368,4
18369,4
18370,5
18371,6
18372,1
18373,7
18374,8
18375,8
18376,5
18377,5
18378,7
18379,6
18380,6
18381,7
18382,7
18383,7
18384,4
18385,6
18386,7
18387,7
18388,7
18389,8
18390,6
18391,0
18392,1
18393,1
18394,3
18395,0
18396,3
18397,0
18398,0
18399,4
18400,6
18401,1
18402,1
18403,7
18404,2
18405,3
18406,4
18407,3
18408,5
18409,2
18410,8
