iter	Logloss
0	0.6869850539
1	0.6814211215
2	0.6761242939
3	0.6723866003
4	0.6688555847
5	0.6659421699
6	0.6622320536
7	0.6599422214
8	0.6570118749
9	0.6549180243
10	0.6534567291
11	0.6520984941
12	0.6501691951
13	0.6485118169
14	0.646825594
15	0.6455947014
16	0.6448334349
17	0.6441018748
18	0.6429915824
19	0.6417339743
20	0.6409909575
21	0.6401491894
22	0.6391793185
23	0.6380397252
24	0.6364316212
25	0.6356835349
26	0.6348665054
27	0.6342774958
28	0.6336489452
29	0.6329857202
30	0.6320318178
31	0.6315491128
32	0.63096644
33	0.630404805
34	0.6299321374
35	0.6292984668
36	0.6286165358
37	0.6279954879
38	0.6274724308
39	0.6268275061
40	0.6263242196
41	0.6258677739
42	0.6249890502
43	0.6243178155
44	0.6235601989
45	0.623202099
46	0.6226612484
47	0.6222285781
48	0.6215605371
49	0.6212250466
50	0.6207313411
51	0.6202951222
52	0.6198530736
53	0.6190986507
54	0.6186937098
55	0.6182386329
56	0.6177298714
57	0.617173103
58	0.6165537787
59	0.6162984347
60	0.6158046279
61	0.6156077844
62	0.6150902529
63	0.6146328441
64	0.614220502
65	0.6139135012
66	0.6135274184
67	0.6133153161
68	0.6128853833
69	0.6123013417
70	0.6117620627
71	0.6113589467
72	0.6111028931
73	0.6105344652
74	0.6101276486
75	0.609968065
76	0.609592273
77	0.6093308965
78	0.6088651233
79	0.608507733
80	0.6081065941
81	0.6078593105
82	0.6073076115
83	0.6068145651
84	0.6064077485
85	0.6060615616
86	0.6057452332
87	0.6055257297
88	0.605104364
89	0.6047503196
90	0.604457513
91	0.604155531
92	0.6034871352
93	0.6030806228
94	0.602785535
95	0.6021373153
96	0.601603866
97	0.600540516
98	0.5999236756
99	0.5992730733
100	0.5990342048
101	0.598650099
102	0.5982208252
103	0.597694473
104	0.5972088278
105	0.5960856086
106	0.5956305317
107	0.5951515781
108	0.5947204793
109	0.5942307786
110	0.5938047491
111	0.5933979326
112	0.5929610547
113	0.5927283202
114	0.5923077656
115	0.5916904183
116	0.5912960724
117	0.5909369079
118	0.590152525
119	0.5895587503
120	0.5888219181
121	0.5881538264
122	0.5874691073
123	0.5866581609
124	0.5861638978
125	0.5856175217
126	0.584690132
127	0.5841364053
128	0.5835697009
129	0.5830801016
130	0.5822846169
131	0.5816983955
132	0.5814836065
133	0.5809520835
134	0.5804998962
135	0.5798701796
136	0.5794377121
137	0.5789502926
138	0.578476966
139	0.57806361
140	0.577676716
141	0.5769901719
142	0.5767026375
143	0.576312854
144	0.5758649756
145	0.5751600297
146	0.5746122848
147	0.5743257643
148	0.5738532488
149	0.5733268459
150	0.572899904
151	0.5722917829
152	0.5718563245
153	0.571504105
154	0.5710095377
155	0.5707076063
156	0.5704635164
157	0.5701837381
158	0.5697443256
159	0.5691335684
160	0.5684067736
161	0.5680281934
162	0.5674355339
163	0.5669775675
164	0.5665213246
165	0.5662124989
166	0.5659461544
167	0.5657170191
168	0.565262804
169	0.5647404059
170	0.5644142937
171	0.5641032881
172	0.5639378747
173	0.5636111541
174	0.5631433531
175	0.5625359925
176	0.5621529513
177	0.5617410147
178	0.5613643608
179	0.5610518345
180	0.5607219709
181	0.5603210855
182	0.560034565
183	0.5595695521
184	0.5591956864
185	0.5586613246
186	0.5585051375
187	0.5581511944
188	0.5577478757
189	0.5573768996
190	0.5571306298
191	0.5568556168
192	0.5566187253
193	0.5560926266
194	0.5558187288
195	0.5554992067
196	0.5549509042
197	0.5547967955
198	0.5544078231
199	0.5538837015
200	0.5534898625
201	0.5528966454
202	0.5526866216
203	0.5523035297
204	0.5518493652
205	0.5514364148
206	0.5506450869
207	0.5502145964
208	0.5496739993
209	0.5493638555
210	0.5490509743
211	0.548772362
212	0.5485661909
213	0.5480820158
214	0.5477473364
215	0.5474440869
216	0.5472533774
217	0.5469653868
218	0.5467056325
219	0.5465062544
220	0.5461044058
221	0.5458225998
222	0.5454366183
223	0.5450569229
224	0.5446258748
225	0.5442212887
226	0.5438314039
227	0.5436137253
228	0.5430961938
229	0.5426615465
230	0.5423039535
231	0.5418968834
232	0.541690763
233	0.5414191465
234	0.5411608116
235	0.540926759
236	0.5404793876
237	0.5401382193
238	0.5399096416
239	0.5397071205
240	0.5390982897
241	0.5388331619
242	0.5384641628
243	0.5380411243
244	0.5376813008
245	0.5374879045
246	0.5368816084
247	0.5363534313
248	0.5359640026
249	0.5357083039
250	0.5353221703
251	0.5349310181
252	0.5347356448
253	0.5344232198
254	0.5340791113
