id,Danceability
17170,5
17171,7
17172,5
17173,5
17174,6
17175,7
17176,3
17177,4
17178,5
17179,3
17180,7
17181,6
17182,3
17183,7
17184,7
17185,5
17186,6
17187,4
17188,5
17189,5
17190,8
17191,7
17192,7
17193,7
17194,6
17195,7
17196,6
17197,7
17198,6
17199,5
17200,3
17201,5
17202,3
17203,3
17204,7
17205,6
17206,5
17207,3
17208,4
17209,6
17210,7
17211,7
17212,4
17213,7
17214,6
17215,5
17216,6
17217,7
17218,6
17219,5
17220,6
17221,2
17222,4
17223,6
17224,5
17225,4
17226,7
17227,6
17228,7
17229,4
17230,5
17231,6
17232,6
17233,5
17234,4
17235,7
17236,5
17237,4
17238,2
17239,6
17240,3
17241,6
17242,3
17243,5
17244,4
17245,5
17246,5
17247,7
17248,4
17249,6
17250,4
17251,5
17252,6
17253,4
17254,5
17255,5
17256,6
17257,8
17258,6
17259,4
17260,6
17261,7
17262,7
17263,8
17264,4
17265,7
17266,2
17267,7
17268,6
17269,6
17270,7
17271,7
17272,7
17273,7
17274,7
17275,7
17276,7
17277,5
17278,5
17279,4
17280,5
17281,7
17282,2
17283,8
17284,8
17285,7
17286,5
17287,3
17288,6
17289,7
17290,8
17291,4
17292,6
17293,6
17294,7
17295,7
17296,5
17297,6
17298,7
17299,6
17300,7
17301,6
17302,7
17303,3
17304,6
17305,6
17306,5
17307,6
17308,4
17309,7
17310,6
17311,7
17312,4
17313,7
17314,7
17315,7
17316,7
17317,8
17318,4
17319,5
17320,8
17321,4
17322,6
17323,3
17324,5
17325,6
17326,6
17327,6
17328,4
17329,6
17330,7
17331,5
17332,7
17333,6
17334,5
17335,5
17336,7
17337,6
17338,7
17339,6
17340,7
17341,7
17342,3
17343,3
17344,3
17345,4
17346,6
17347,6
17348,7
17349,4
17350,7
17351,7
17352,6
17353,7
17354,4
17355,7
17356,7
17357,7
17358,6
17359,7
17360,7
17361,7
17362,7
17363,7
17364,6
17365,6
17366,7
17367,7
17368,7
17369,7
17370,7
17371,7
17372,4
17373,4
17374,5
17375,6
17376,6
17377,2
17378,2
17379,7
17380,6
17381,7
17382,6
17383,7
17384,7
17385,4
17386,6
17387,6
17388,7
17389,6
17390,7
17391,7
17392,7
17393,6
17394,6
17395,7
17396,8
17397,5
17398,6
17399,6
17400,6
17401,5
17402,7
17403,6
17404,6
17405,6
17406,4
17407,5
17408,5
17409,7
17410,2
17411,8
17412,5
17413,7
17414,7
17415,6
17416,6
17417,6
17418,5
17419,7
17420,3
17421,7
17422,3
17423,2
17424,7
17425,7
17426,6
17427,6
17428,2
17429,7
17430,6
17431,7
17432,5
17433,4
17434,7
17435,5
17436,6
17437,3
17438,6
17439,6
17440,4
17441,4
17442,3
17443,5
17444,6
17445,6
17446,3
17447,7
17448,3
17449,6
17450,7
17451,6
17452,5
17453,7
17454,7
17455,4
17456,6
17457,5
17458,7
17459,7
17460,5
17461,5
17462,4
17463,4
17464,5
17465,3
17466,3
17467,5
17468,6
17469,5
17470,6
17471,7
17472,5
17473,7
17474,5
17475,5
17476,6
17477,5
17478,7
17479,5
17480,6
17481,5
17482,7
17483,7
17484,6
17485,7
17486,7
17487,4
17488,5
17489,4
17490,7
17491,6
17492,7
17493,6
17494,7
17495,2
17496,7
17497,7
17498,7
17499,5
17500,4
17501,4
17502,5
17503,4
17504,4
17505,3
17506,4
17507,3
17508,5
17509,7
17510,7
17511,5
17512,6
17513,6
17514,7
17515,7
17516,5
17517,6
17518,7
17519,7
17520,4
17521,7
17522,6
17523,6
17524,10
17525,7
17526,6
17527,3
17528,6
17529,6
17530,4
17531,6
17532,6
17533,3
17534,7
17535,7
17536,4
17537,8
17538,7
17539,6
17540,7
17541,6
17542,4
17543,7
17544,7
17545,7
17546,7
17547,6
17548,7
17549,5
17550,7
17551,8
17552,6
17553,3
17554,7
17555,7
17556,6
17557,6
17558,6
17559,7
17560,7
17561,8
17562,5
17563,5
17564,4
17565,7
17566,7
17567,5
17568,6
17569,2
17570,3
17571,7
17572,6
17573,6
17574,5
17575,5
17576,5
17577,5
17578,7
17579,7
17580,7
17581,7
17582,5
17583,5
17584,7
17585,6
17586,7
17587,6
17588,7
17589,7
17590,7
17591,7
17592,5
17593,3
17594,7
17595,7
17596,3
17597,4
17598,4
17599,6
17600,5
17601,7
17602,7
17603,4
17604,5
17605,4
17606,2
17607,5
17608,5
17609,6
17610,3
17611,5
17612,3
17613,7
17614,3
17615,4
17616,7
17617,6
17618,3
17619,5
17620,7
17621,5
17622,6
17623,5
17624,4
17625,5
17626,7
17627,4
17628,4
17629,5
17630,8
17631,3
17632,5
17633,3
17634,6
17635,3
17636,6
17637,3
17638,6
17639,6
17640,5
17641,4
17642,7
17643,6
17644,6
17645,3
17646,4
17647,4
17648,6
17649,3
17650,6
17651,5
17652,3
17653,6
17654,2
17655,3
17656,5
17657,2
17658,2
17659,1
17660,2
17661,1
17662,1
17663,2
17664,2
17665,2
17666,0
17667,6
17668,5
17669,4
17670,5
17671,3
17672,5
17673,3
17674,3
17675,3
17676,6
17677,5
17678,3
17679,4
17680,5
17681,7
17682,7
17683,5
17684,4
17685,5
17686,4
17687,4
17688,3
17689,4
17690,4
17691,6
17692,3
17693,3
17694,4
17695,7
17696,4
17697,2
17698,3
17699,2
17700,4
17701,5
17702,4
17703,6
17704,6
17705,6
17706,4
17707,5
17708,6
17709,4
17710,4
17711,3
17712,6
17713,4
17714,2
17715,2
17716,3
17717,2
17718,5
17719,3
17720,3
17721,2
17722,2
17723,2
17724,4
17725,3
17726,4
17727,3
17728,6
17729,5
17730,6
17731,4
17732,4
17733,3
17734,7
17735,7
17736,6
17737,4
17738,7
17739,2
17740,7
17741,3
17742,7
17743,7
17744,4
17745,6
17746,4
17747,7
17748,4
17749,3
17750,6
17751,3
17752,6
17753,5
17754,6
17755,7
17756,6
17757,7
17758,7
17759,3
17760,3
17761,4
17762,3
17763,5
17764,3
17765,7
17766,6
17767,7
17768,8
17769,6
17770,5
17771,5
17772,6
17773,7
17774,7
17775,5
17776,6
17777,4
17778,6
17779,7
17780,7
17781,4
17782,4
17783,7
17784,6
17785,4
17786,6
17787,4
17788,4
17789,5
17790,3
17791,6
17792,4
17793,4
17794,4
17795,8
17796,7
17797,7
17798,8
17799,6
17800,5
17801,4
17802,7
17803,7
17804,7
17805,5
17806,6
17807,7
17808,3
17809,7
17810,7
17811,5
17812,6
17813,7
17814,6
17815,4
17816,5
17817,4
17818,6
17819,7
17820,7
17821,3
17822,5
17823,7
17824,5
17825,7
17826,7
17827,6
17828,7
17829,7
17830,5
17831,6
17832,7
17833,2
17834,5
17835,6
