id,Danceability
17170,7
17171,7
17172,6
17173,5
17174,6
17175,7
17176,4
17177,4
17178,6
17179,3
17180,6
17181,6
17182,3
17183,6
17184,7
17185,6
17186,5
17187,2
17188,3
17189,5
17190,8
17191,7
17192,8
17193,7
17194,7
17195,8
17196,7
17197,7
17198,7
17199,4
17200,3
17201,5
17202,1
17203,1
17204,7
17205,5
17206,4
17207,1
17208,4
17209,4
17210,5
17211,5
17212,2
17213,6
17214,7
17215,6
17216,6
17217,7
17218,5
17219,7
17220,6
17221,1
17222,5
17223,5
17224,5
17225,4
17226,8
17227,4
17228,6
17229,4
17230,2
17231,5
17232,5
17233,2
17234,3
17235,4
17236,3
17237,2
17238,1
17239,4
17240,1
17241,3
17242,1
17243,3
17244,2
17245,3
17246,5
17247,8
17248,3
17249,6
17250,2
17251,6
17252,3
17253,4
17254,6
17255,5
17256,7
17257,8
17258,4
17259,3
17260,7
17261,7
17262,8
17263,8
17264,4
17265,6
17266,1
17267,6
17268,6
17269,7
17270,8
17271,7
17272,7
17273,6
17274,7
17275,8
17276,7
17277,5
17278,6
17279,3
17280,6
17281,8
17282,1
17283,7
17284,7
17285,7
17286,7
17287,2
17288,6
17289,6
17290,7
17291,4
17292,3
17293,6
17294,7
17295,8
17296,7
17297,6
17298,7
17299,8
17300,8
17301,5
17302,8
17303,2
17304,8
17305,6
17306,5
17307,6
17308,7
17309,5
17310,6
17311,7
17312,4
17313,6
17314,8
17315,7
17316,6
17317,7
17318,5
17319,4
17320,8
17321,3
17322,5
17323,2
17324,6
17325,4
17326,5
17327,3
17328,2
17329,7
17330,4
17331,5
17332,6
17333,3
17334,4
17335,5
17336,6
17337,5
17338,8
17339,7
17340,7
17341,5
17342,4
17343,1
17344,1
17345,2
17346,7
17347,7
17348,8
17349,4
17350,8
17351,6
17352,6
17353,6
17354,5
17355,7
17356,6
17357,7
17358,6
17359,8
17360,8
17361,8
17362,6
17363,8
17364,7
17365,6
17366,6
17367,8
17368,7
17369,7
17370,8
17371,8
17372,4
17373,4
17374,2
17375,5
17376,5
17377,0
17378,1
17379,7
17380,7
17381,6
17382,6
17383,8
17384,8
17385,4
17386,5
17387,5
17388,7
17389,6
17390,7
17391,7
17392,8
17393,7
17394,5
17395,7
17396,8
17397,4
17398,5
17399,5
17400,5
17401,4
17402,7
17403,3
17404,6
17405,6
17406,1
17407,4
17408,4
17409,8
17410,1
17411,7
17412,4
17413,6
17414,6
17415,5
17416,6
17417,7
17418,5
17419,8
17420,3
17421,5
17422,2
17423,2
17424,7
17425,6
17426,5
17427,5
17428,1
17429,7
17430,6
17431,6
17432,7
17433,4
17434,7
17435,5
17436,4
17437,2
17438,7
17439,4
17440,2
17441,4
17442,2
17443,5
17444,3
17445,6
17446,2
17447,7
17448,1
17449,6
17450,7
17451,7
17452,4
17453,8
17454,6
17455,4
17456,7
17457,6
17458,8
17459,7
17460,3
17461,7
17462,3
17463,4
17464,5
17465,2
17466,1
17467,4
17468,6
17469,6
17470,3
17471,7
17472,3
17473,8
17474,4
17475,4
17476,7
17477,5
17478,8
17479,5
17480,4
17481,3
17482,6
17483,7
17484,8
17485,6
17486,7
17487,5
17488,5
17489,4
17490,8
17491,7
17492,7
17493,7
17494,7
17495,2
17496,7
17497,5
17498,8
17499,6
17500,4
17501,4
17502,4
17503,2
17504,3
17505,2
17506,1
17507,3
17508,3
17509,8
17510,7
17511,6
17512,6
17513,5
17514,7
17515,7
17516,3
17517,5
17518,7
17519,8
17520,3
17521,7
17522,7
17523,6
17524,6
17525,7
17526,6
17527,4
17528,6
17529,7
17530,4
17531,7
17532,4
17533,3
17534,7
17535,5
17536,5
17537,8
17538,7
17539,6
17540,8
17541,6
17542,3
17543,7
17544,6
17545,6
17546,5
17547,7
17548,6
17549,5
17550,7
17551,7
17552,5
17553,4
17554,8
17555,6
17556,6
17557,4
17558,7
17559,8
17560,8
17561,5
17562,4
17563,4
17564,4
17565,5
17566,7
17567,1
17568,6
17569,1
17570,3
17571,8
17572,6
17573,5
17574,5
17575,3
17576,3
17577,6
17578,7
17579,8
17580,6
17581,7
17582,4
17583,6
17584,7
17585,7
17586,7
17587,6
17588,6
17589,7
17590,8
17591,8
17592,6
17593,2
17594,4
17595,8
17596,1
17597,5
17598,3
17599,6
17600,3
17601,7
17602,6
17603,4
17604,5
17605,2
17606,1
17607,6
17608,5
17609,6
17610,2
17611,5
17612,3
17613,7
17614,1
17615,1
17616,7
17617,4
17618,3
17619,3
17620,6
17621,4
17622,7
17623,3
17624,4
17625,4
17626,8
17627,4
17628,3
17629,3
17630,8
17631,2
17632,5
17633,2
17634,5
17635,2
17636,5
17637,3
17638,2
17639,5
17640,5
17641,2
17642,5
17643,5
17644,6
17645,2
17646,4
17647,2
17648,4
17649,1
17650,6
17651,3
17652,2
17653,5
17654,2
17655,2
17656,2
17657,1
17658,1
17659,1
17660,1
17661,0
17662,0
17663,0
17664,0
17665,0
17666,0
17667,6
17668,1
17669,3
17670,2
17671,1
17672,4
17673,1
17674,3
17675,2
17676,6
17677,3
17678,2
17679,4
17680,3
17681,7
17682,7
17683,5
17684,4
17685,5
17686,4
17687,1
17688,2
17689,2
17690,4
17691,7
17692,2
17693,1
17694,4
17695,6
17696,3
17697,0
17698,1
17699,1
17700,1
17701,3
17702,5
17703,6
17704,4
17705,6
17706,4
17707,4
17708,7
17709,5
17710,4
17711,1
17712,6
17713,2
17714,1
17715,0
17716,2
17717,0
17718,4
17719,4
17720,3
17721,1
17722,0
17723,1
17724,1
17725,2
17726,2
17727,2
17728,2
17729,3
17730,7
17731,3
17732,4
17733,2
17734,7
17735,5
17736,6
17737,3
17738,5
17739,1
17740,6
17741,2
17742,8
17743,8
17744,2
17745,6
17746,3
17747,6
17748,3
17749,3
17750,7
17751,2
17752,6
17753,4
17754,5
17755,6
17756,6
17757,6
17758,6
17759,2
17760,1
17761,2
17762,2
17763,5
17764,1
17765,6
17766,5
17767,8
17768,7
17769,4
17770,4
17771,5
17772,6
17773,7
17774,7
17775,5
17776,6
17777,4
17778,5
17779,7
17780,5
17781,5
17782,4
17783,8
17784,7
17785,3
17786,6
17787,3
17788,4
17789,6
17790,3
17791,4
17792,4
17793,6
17794,3
17795,8
17796,8
17797,8
17798,8
17799,5
17800,6
17801,3
17802,8
17803,7
17804,8
17805,4
17806,6
17807,4
17808,1
17809,8
17810,7
17811,2
17812,5
17813,4
17814,5
17815,4
17816,4
17817,3
17818,6
17819,7
17820,7
17821,3
17822,4
17823,7
17824,4
17825,7
17826,7
17827,5
17828,8
17829,6
17830,4
17831,7
17832,6
17833,2
17834,4
17835,7
17836,4
17837,1
17838,4
17839,4
17840,3
17841,7
17842,7
17843,5
17844,7
17845,7
17846,7
17847,7
17848,6
17849,8
17850,8
17851,4
17852,6
17853,7
17854,7
17855,3
17856,6
17857,6
17858,7
17859,7
17860,8
17861,5
17862,3
17863,7
17864,7
17865,7
17866,8
17867,4
17868,5
17869,8
17870,5
17871,1
17872,7
17873,7
17874,5
17875,1
17876,3
17877,6
17878,7
17879,6
17880,1
17881,2
17882,2
17883,3
17884,7
17885,4
17886,2
17887,5
17888,6
17889,7
17890,6
17891,5
17892,4
17893,2
17894,5
17895,7
17896,8
17897,6
17898,8
17899,1
17900,7
17901,8
17902,8
17903,7
17904,6
17905,7
17906,7
17907,8
17908,2
17909,5
17910,6
17911,3
17912,3
17913,5
17914,3
17915,7
17916,2
17917,5
17918,5
17919,3
17920,1
17921,1
17922,1
17923,6
17924,6
17925,2
17926,1
17927,5
17928,3
17929,6
17930,2
17931,2
17932,6
17933,7
17934,7
17935,4
17936,7
17937,6
17938,5
17939,5
17940,1
17941,7
17942,8
17943,6
17944,3
17945,4
17946,4
17947,6
17948,4
17949,4
17950,3
17951,3
17952,7
17953,1
17954,6
17955,5
17956,8
17957,5
17958,7
17959,5
17960,5
17961,5
17962,4
17963,8
17964,7
17965,7
17966,7
17967,3
17968,8
17969,5
17970,5
17971,5
17972,7
17973,8
17974,7
17975,6
17976,7
17977,7
17978,8
17979,7
17980,6
17981,7
17982,2
17983,6
17984,7
17985,7
17986,7
17987,6
17988,7
17989,7
17990,8
17991,7
17992,1
17993,7
17994,4
17995,6
17996,7
17997,5
17998,8
17999,4
18000,8
18001,7
18002,5
18003,1
18004,3
18005,3
18006,4
18007,3
18008,8
18009,5
18010,5
18011,4
18012,2
18013,7
18014,3
18015,5
18016,2
18017,6
18018,1
18019,6
18020,7
18021,7
18022,6
18023,3
18024,5
18025,7
18026,6
18027,7
18028,4
18029,1
18030,0
18031,4
18032,1
18033,0
18034,5
18035,0
18036,5
18037,0
18038,3
18039,7
18040,3
18041,8
18042,4
18043,3
18044,4
18045,3
18046,5
18047,4
18048,3
18049,2
18050,5
18051,5
18052,1
18053,6
18054,2
18055,5
18056,5
18057,5
18058,5
18059,3
18060,5
18061,3
18062,5
18063,6
18064,2
18065,3
18066,7
18067,7
18068,7
18069,5
18070,3
18071,4
18072,5
18073,6
18074,8
18075,6
18076,4
18077,7
18078,7
18079,3
18080,6
18081,7
18082,4
18083,4
18084,7
18085,7
18086,6
18087,4
18088,6
18089,5
18090,5
18091,1
18092,4
18093,1
18094,4
18095,5
18096,5
18097,4
18098,2
18099,4
18100,3
18101,6
18102,5
18103,6
18104,8
18105,7
18106,5
18107,4
18108,2
18109,7
18110,4
18111,6
18112,6
18113,4
18114,7
18115,2
18116,3
18117,6
18118,7
18119,6
18120,5
18121,3
18122,5
18123,1
18124,6
18125,7
18126,1
18127,5
18128,5
18129,4
18130,5
18131,3
18132,3
18133,2
18134,3
18135,2
18136,4
18137,5
18138,7
18139,6
18140,1
18141,6
18142,3
18143,3
18144,5
18145,8
18146,5
18147,2
18148,4
18149,3
18150,7
18151,7
18152,8
18153,7
18154,5
18155,5
18156,7
18157,8
18158,2
18159,7
18160,6
18161,6
18162,7
18163,5
18164,6
18165,5
18166,4
18167,6
18168,4
18169,8
18170,8
18171,6
18172,5
18173,7
18174,8
18175,7
18176,6
18177,2
18178,4
18179,5
18180,7
18181,6
18182,8
18183,6
18184,6
18185,7
18186,4
18187,6
18188,3
18189,1
18190,1
18191,4
18192,7
18193,3
18194,2
18195,7
18196,5
18197,2
18198,0
18199,2
18200,1
18201,0
18202,1
18203,0
18204,0
18205,0
18206,5
18207,3
18208,5
18209,1
18210,5
18211,7
18212,8
18213,2
18214,8
18215,4
18216,4
18217,7
18218,6
18219,8
18220,6
18221,1
18222,6
18223,7
18224,8
18225,3
18226,5
18227,5
18228,6
18229,8
18230,5
18231,4
18232,2
18233,4
18234,7
18235,6
18236,5
18237,5
18238,3
18239,7
18240,7
18241,4
18242,6
18243,6
18244,5
18245,7
18246,6
18247,5
18248,7
18249,3
18250,6
18251,5
18252,7
18253,3
18254,4
18255,5
18256,6
18257,6
18258,2
18259,7
18260,4
18261,3
18262,1
18263,3
18264,1
18265,3
18266,0
18267,2
18268,3
18269,6
18270,4
18271,4
18272,3
18273,4
18274,7
18275,5
18276,2
18277,4
18278,3
18279,4
18280,7
18281,5
18282,4
18283,8
18284,3
18285,7
18286,2
18287,5
18288,3
18289,7
18290,5
18291,8
18292,8
18293,7
18294,4
18295,3
18296,3
18297,7
18298,3
18299,5
18300,6
18301,3
18302,2
18303,5
18304,6
18305,3
18306,5
18307,1
18308,6
18309,5
18310,7
18311,6
18312,5
18313,6
18314,5
18315,4
18316,4
18317,2
18318,1
18319,2
18320,1
18321,3
18322,1
18323,6
18324,1
18325,8
18326,7
18327,8
18328,5
18329,8
18330,4
18331,6
18332,3
18333,3
18334,3
18335,4
18336,4
18337,4
18338,2
18339,2
18340,2
18341,5
18342,3
18343,5
18344,6
18345,5
18346,3
18347,6
18348,2
18349,1
18350,5
18351,6
18352,6
18353,8
18354,5
18355,3
18356,4
18357,3
18358,7
18359,7
18360,7
18361,1
18362,4
18363,7
18364,7
18365,3
18366,6
18367,3
18368,5
18369,4
18370,6
18371,6
18372,1
18373,7
18374,9
18375,8
18376,6
18377,6
18378,7
18379,7
18380,6
18381,8
18382,8
18383,8
18384,6
18385,7
18386,8
18387,8
18388,7
18389,7
18390,7
18391,0
18392,1
18393,1
18394,3
18395,0
18396,2
18397,0
18398,0
18399,3
18400,6
18401,1
18402,1
18403,6
18404,2
18405,3
18406,3
18407,3
18408,5
18409,1
18410,8
