id,Danceability
17170,5
17171,5
17172,4
17173,6
17174,1
17175,7
17176,7
17177,4
17178,5
17179,5
17180,5
17181,5
17182,7
17183,5
17184,5
17185,7
17186,9
17187,0
17188,2
17189,5
17190,5
17191,0
17192,5
17193,7
17194,5
17195,7
17196,5
17197,2
17198,0
17199,7
17200,2
17201,4
17202,8
17203,4
17204,5
17205,5
17206,9
17207,1
17208,5
17209,7
17210,5
17211,7
17212,5
17213,0
17214,6
17215,5
17216,4
17217,5
17218,1
17219,7
17220,5
17221,5
17222,9
17223,5
17224,9
17225,5
17226,5
17227,3
17228,6
17229,2
17230,4
17231,4
17232,6
17233,0
17234,5
17235,4
17236,1
17237,5
17238,5
17239,5
17240,5
17241,4
17242,5
17243,7
17244,5
17245,9
17246,5
17247,5
17248,4
17249,2
17250,0
17251,4
17252,0
17253,5
17254,2
17255,7
17256,1
17257,5
17258,3
17259,9
17260,1
17261,5
17262,2
17263,4
17264,0
17265,4
17266,5
17267,5
17268,5
17269,9
17270,5
17271,5
17272,0
17273,5
17274,0
17275,5
17276,8
17277,6
17278,1
17279,0
17280,0
17281,7
17282,2
17283,2
17284,4
17285,5
17286,5
17287,9
17288,3
17289,2
17290,8
17291,5
17292,6
17293,5
17294,5
17295,7
17296,1
17297,8
17298,5
17299,3
17300,0
17301,5
17302,5
17303,0
17304,9
17305,5
17306,5
17307,3
17308,5
17309,5
17310,5
17311,5
17312,7
17313,8
17314,6
17315,6
17316,2
17317,7
17318,5
17319,5
17320,5
17321,5
17322,3
17323,2
17324,1
17325,3
17326,6
17327,0
17328,5
17329,5
17330,8
17331,5
17332,4
17333,0
17334,9
17335,5
17336,5
17337,2
17338,3
17339,8
17340,9
17341,3
17342,0
17343,1
17344,0
17345,5
17346,5
17347,5
17348,1
17349,5
17350,8
17351,5
17352,2
17353,8
17354,2
17355,5
17356,7
17357,5
17358,9
17359,5
17360,5
17361,4
17362,6
17363,5
17364,5
17365,8
17366,4
17367,5
17368,5
17369,5
17370,4
17371,4
17372,1
17373,5
17374,1
17375,5
17376,5
17377,5
17378,3
17379,5
17380,7
17381,7
17382,5
17383,7
17384,0
17385,7
17386,1
17387,5
17388,7
17389,5
17390,3
17391,9
17392,5
17393,1
17394,0
17395,5
17396,8
17397,5
17398,4
17399,2
17400,8
17401,5
17402,8
17403,5
17404,5
17405,5
17406,7
17407,4
17408,4
17409,5
17410,1
17411,5
17412,9
17413,9
17414,6
17415,0
17416,8
17417,5
17418,4
17419,1
17420,0
17421,3
17422,4
17423,5
17424,4
17425,5
17426,5
17427,5
17428,5
17429,1
17430,1
17431,5
17432,0
17433,5
17434,9
17435,6
17436,5
17437,6
17438,6
17439,4
17440,5
17441,0
17442,8
17443,4
17444,6
17445,1
17446,1
17447,5
17448,5
17449,0
17450,2
17451,7
17452,7
17453,6
17454,3
17455,4
17456,8
17457,0
17458,7
17459,3
17460,5
17461,4
17462,5
17463,1
17464,4
17465,5
17466,4
17467,1
17468,4
17469,5
17470,6
17471,5
17472,0
17473,5
17474,7
17475,5
17476,5
17477,4
17478,5
17479,8
17480,8
17481,7
17482,8
17483,6
17484,7
17485,7
17486,1
17487,4
17488,7
17489,2
17490,5
17491,4
17492,5
17493,5
17494,8
17495,5
17496,0
17497,0
17498,5
17499,5
17500,7
17501,4
17502,2
17503,3
17504,1
17505,4
17506,8
17507,5
17508,4
17509,0
17510,5
17511,5
17512,0
17513,7
17514,5
17515,5
17516,5
17517,4
17518,5
17519,8
17520,0
17521,5
17522,0
17523,5
17524,2
17525,0
17526,9
17527,3
17528,5
17529,5
17530,3
17531,6
17532,2
17533,7
17534,5
17535,3
17536,7
17537,1
17538,5
17539,3
17540,4
17541,5
17542,3
17543,8
17544,7
17545,6
17546,5
17547,7
17548,0
17549,8
17550,5
17551,5
17552,7
17553,6
17554,5
17555,8
17556,5
17557,6
17558,7
17559,5
17560,5
17561,4
17562,3
17563,0
17564,6
17565,3
17566,5
17567,1
17568,5
17569,5
17570,2
17571,5
17572,5
17573,5
17574,5
17575,3
17576,7
17577,2
17578,1
17579,1
17580,7
17581,4
17582,9
17583,4
17584,4
17585,5
17586,9
17587,5
17588,0
17589,1
17590,0
17591,8
17592,9
17593,5
17594,5
17595,5
17596,8
17597,2
17598,8
17599,6
17600,4
17601,5
17602,5
17603,8
17604,5
17605,8
17606,5
17607,5
17608,1
17609,9
17610,9
17611,5
17612,3
17613,0
17614,6
17615,3
17616,7
17617,6
17618,1
17619,7
17620,7
17621,6
17622,0
17623,7
17624,5
17625,7
17626,0
17627,9
17628,1
17629,5
17630,6
17631,4
17632,6
17633,4
17634,5
17635,0
17636,5
17637,5
17638,5
17639,5
17640,4
17641,0
17642,3
17643,7
17644,7
17645,4
17646,5
17647,4
17648,9
17649,3
17650,5
17651,4
17652,1
17653,4
17654,1
17655,4
17656,7
17657,3
17658,5
17659,5
17660,7
17661,2
17662,4
17663,4
17664,4
17665,5
17666,5
17667,4
17668,5
17669,9
17670,7
17671,9
17672,0
17673,5
17674,4
17675,4
17676,4
17677,5
17678,7
17679,5
17680,5
17681,8
17682,5
17683,2
17684,5
17685,9
17686,8
17687,3
17688,2
17689,1
17690,7
17691,5
17692,6
17693,2
17694,5
17695,7
17696,5
17697,4
17698,4
17699,5
17700,9
17701,7
17702,0
17703,2
17704,1
17705,7
17706,5
17707,5
17708,3
17709,4
17710,5
17711,5
17712,4
17713,9
17714,9
17715,0
17716,0
17717,7
17718,3
17719,5
17720,5
17721,7
17722,5
17723,4
17724,3
17725,0
17726,4
17727,0
17728,4
17729,0
17730,7
17731,4
17732,6
17733,9
17734,5
17735,9
17736,2
17737,4
17738,4
17739,4
17740,7
17741,7
17742,5
17743,2
17744,9
17745,5
17746,9
17747,5
17748,5
17749,5
17750,4
17751,8
17752,5
17753,1
17754,9
17755,7
17756,6
17757,7
17758,3
17759,5
17760,4
17761,5
17762,2
17763,4
17764,4
17765,5
17766,7
17767,7
17768,5
17769,3
17770,7
17771,7
17772,0
17773,6
17774,5
17775,5
17776,5
17777,4
17778,2
17779,3
17780,7
17781,0
17782,4
17783,5
17784,5
17785,8
17786,4
17787,5
17788,4
17789,5
17790,4
17791,9
17792,7
17793,5
17794,5
17795,7
17796,5
17797,3
17798,5
17799,5
17800,0
17801,1
17802,5
17803,8
17804,5
17805,2
17806,8
17807,9
17808,8
17809,7
17810,3
17811,4
17812,0
17813,8
17814,4
17815,9
17816,9
17817,4
17818,5
17819,4
17820,5
17821,5
17822,4
17823,5
17824,5
17825,5
17826,3
17827,9
17828,1
17829,8
17830,2
17831,7
17832,1
17833,1
17834,5
17835,9
17836,4
17837,5
17838,5
17839,1
17840,4
17841,5
17842,4
17843,7
17844,5
17845,0
17846,9
17847,7
17848,0
17849,5
17850,5
17851,5
17852,5
17853,0
17854,4
17855,9
17856,5
17857,6
17858,0
17859,5
17860,5
17861,5
17862,6
17863,5
17864,8
17865,5
17866,5
17867,7
17868,4
17869,5
17870,0
17871,2
17872,5
17873,5
17874,5
17875,8
17876,9
17877,5
17878,5
17879,4
17880,5
17881,1
17882,9
17883,4
17884,5
17885,6
17886,1
17887,4
17888,5
17889,5
17890,4
17891,1
17892,5
17893,7
17894,8
17895,5
17896,7
17897,5
17898,5
17899,5
17900,0
17901,5
17902,5
17903,5
17904,2
17905,5
17906,0
17907,5
17908,9
17909,5
17910,5
17911,5
17912,1
17913,5
17914,4
17915,2
17916,1
17917,5
17918,5
17919,4
17920,2
17921,5
17922,8
17923,4
17924,1
17925,2
17926,4
17927,5
17928,7
17929,7
17930,5
17931,7
17932,5
17933,0
17934,4
17935,6
17936,6
17937,4
17938,5
17939,6
17940,5
17941,5
17942,5
17943,3
17944,5
17945,4
17946,5
17947,5
17948,4
17949,5
17950,9
17951,8
17952,8
17953,4
17954,1
17955,5
17956,4
17957,4
17958,2
17959,3
17960,5
17961,5
17962,1
17963,5
17964,7
17965,7
17966,3
17967,4
17968,0
17969,5
17970,9
17971,7
17972,7
17973,0
17974,5
17975,0
17976,5
17977,8
17978,6
17979,5
17980,5
17981,5
17982,1
17983,4
17984,0
17985,1
17986,5
17987,5
17988,5
17989,5
17990,5
17991,5
17992,1
17993,9
17994,5
17995,5
17996,3
17997,5
17998,3
17999,7
18000,5
18001,5
18002,8
18003,1
18004,5
18005,5
18006,1
18007,1
18008,5
18009,4
18010,4
18011,4
