id,Danceability
17170,6
17171,5
17172,5
17173,4
17174,6
17175,6
17176,5
17177,3
17178,5
17179,4
17180,5
17181,5
17182,5
17183,6
17184,6
17185,6
17186,6
17187,1
17188,3
17189,6
17190,7
17191,7
17192,6
17193,6
17194,4
17195,7
17196,7
17197,6
17198,8
17199,4
17200,4
17201,4
17202,2
17203,1
17204,7
17205,3
17206,6
17207,2
17208,3
17209,2
17210,5
17211,6
17212,1
17213,7
17214,6
17215,4
17216,6
17217,6
17218,6
17219,7
17220,7
17221,3
17222,6
17223,5
17224,4
17225,3
17226,5
17227,3
17228,4
17229,4
17230,2
17231,4
17232,5
17233,3
17234,3
17235,3
17236,3
17237,2
17238,2
17239,4
17240,1
17241,2
17242,1
17243,4
17244,2
17245,5
17246,5
17247,6
17248,4
17249,5
17250,2
17251,4
17252,4
17253,5
17254,5
17255,7
17256,6
17257,7
17258,4
17259,3
17260,6
17261,6
17262,6
17263,8
17264,6
17265,6
17266,4
17267,5
17268,7
17269,6
17270,8
17271,8
17272,6
17273,7
17274,6
17275,7
17276,5
17277,5
17278,7
17279,5
17280,4
17281,6
17282,1
17283,7
17284,7
17285,7
17286,6
17287,4
17288,7
17289,4
17290,6
17291,6
17292,7
17293,5
17294,7
17295,8
17296,8
17297,5
17298,6
17299,8
17300,7
17301,6
17302,6
17303,3
17304,6
17305,4
17306,5
17307,5
17308,2
17309,7
17310,6
17311,7
17312,5
17313,6
17314,7
17315,7
17316,6
17317,7
17318,5
17319,4
17320,7
17321,5
17322,2
17323,5
17324,4
17325,2
17326,5
17327,2
17328,2
17329,6
17330,4
17331,4
17332,5
17333,3
17334,3
17335,5
17336,7
17337,5
17338,7
17339,7
17340,6
17341,4
17342,4
17343,2
17344,2
17345,3
17346,6
17347,4
17348,6
17349,3
17350,6
17351,3
17352,7
17353,5
17354,7
17355,5
17356,6
17357,6
17358,6
17359,7
17360,7
17361,6
17362,6
17363,7
17364,7
17365,6
17366,5
17367,7
17368,7
17369,6
17370,9
17371,8
17372,4
17373,4
17374,4
17375,4
17376,5
17377,0
17378,3
17379,7
17380,5
17381,7
17382,7
17383,6
17384,8
17385,7
17386,7
17387,5
17388,6
17389,6
17390,7
17391,5
17392,7
17393,7
17394,6
17395,6
17396,8
17397,5
17398,5
17399,5
17400,6
17401,3
17402,5
17403,3
17404,7
17405,7
17406,3
17407,3
17408,4
17409,5
17410,4
17411,6
17412,3
17413,7
17414,6
17415,5
17416,6
17417,6
17418,7
17419,8
17420,4
17421,8
17422,4
17423,1
17424,7
17425,7
17426,5
17427,5
17428,2
17429,4
17430,5
17431,6
17432,6
17433,4
17434,6
17435,5
17436,4
17437,2
17438,7
17439,5
17440,2
17441,4
17442,2
17443,3
17444,5
17445,4
17446,2
17447,6
17448,1
17449,6
17450,6
17451,6
17452,5
17453,7
17454,7
17455,4
17456,6
17457,5
17458,7
17459,7
17460,3
17461,6
17462,3
17463,3
17464,5
17465,2
17466,3
17467,4
17468,6
17469,6
17470,3
17471,7
17472,4
17473,6
17474,5
17475,3
17476,6
17477,7
17478,6
17479,5
17480,5
17481,5
17482,6
17483,6
17484,6
17485,7
17486,8
17487,5
17488,7
17489,3
17490,7
17491,6
17492,6
17493,6
17494,6
17495,2
17496,7
17497,6
17498,6
17499,6
17500,2
17501,4
17502,4
17503,2
17504,4
17505,3
17506,3
17507,3
17508,3
17509,6
17510,7
17511,3
17512,6
17513,5
17514,6
17515,6
17516,5
17517,3
17518,6
17519,5
17520,5
17521,8
17522,7
17523,6
17524,5
17525,6
17526,7
17527,6
17528,4
17529,5
17530,5
17531,6
17532,4
17533,3
17534,6
17535,4
17536,4
17537,6
17538,4
17539,6
17540,7
17541,7
17542,3
17543,5
17544,4
17545,6
17546,4
17547,5
17548,4
17549,4
17550,6
17551,7
17552,5
17553,6
17554,8
17555,6
17556,5
17557,5
17558,6
17559,8
17560,7
17561,7
17562,4
17563,3
17564,6
17565,4
17566,6
17567,2
17568,4
17569,1
17570,3
17571,7
17572,5
17573,3
17574,3
17575,4
17576,2
17577,6
17578,5
17579,7
17580,7
17581,6
17582,5
17583,5
17584,4
17585,6
17586,6
17587,6
17588,3
17589,6
17590,7
17591,7
17592,7
17593,5
17594,4
17595,6
17596,4
17597,5
17598,5
