Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Views,Likes,Stream,Album_type,Licensed,official_video,id,Track,Album,Uri,Url_spotify,Url_youtube,Comments,Description,Title,Channel,Composer,Artist
0.0,0.000273359449,3.0,-25.176,0.0443,0.7241507920000001,6.19e-05,0.000806954491,0.34,83.398,117907.0,,137622.0,19981370.0,0,0,0,0,,0,0,0,0,3070.0,0,0,0,,0
0.0,0.1842200089999999,7.0,,,0.672221376,0.91,0.034965783,0.746,148.692,173427.0,184825.0,5190.0,,,0,,1,1,,1,0,1,122.0,1,1,1,1,1
0.0,,6.0,-15.596,,0.667627624,0.867,0.0017715609999999,0.38,84.899,150667.0,184825.0,5190.0,19320810.0,,0,0,2,2,2,2,0,1,122.0,1,,1,1,2
1.0,0.2095845839999999,,-6.251,0.0277,0.003796416,,0.001,,150.22,265000.0,202457327.0,997035.0,399661898.0,0,1,,3,3,3,3,1,2,24350.0,2,3,2,2,3
4.0,,5.0,,0.026,3.0486250000000004e-06,0.000467,0.0029242069999999,0.295,97.997,263867.0,316688049.0,1299086.0,,0,1,2,4,4,4,4,1,3,31150.0,2,4,2,3,4
6.0,0.442450728,7.0,,0.0326,1.7575999999999996e-05,0.0,0.000944076141,0.842,103.032,260560.0,249074.0,922.0,201457474.0,0,,0,5,5,5,,1,,140.0,3,5,3,4,5
0.0,0.2258665289999999,10.0,,0.0323,0.291434247,1.13e-05,0.010793861,,166.668,258027.0,76758188.0,252380.0,136332369.0,0,1,2,6,,6,6,1,5,6860.0,4,6,2,1,6
6.0,0.4949136710000001,10.0,-6.63,0.0414,4.9836032e-05,0.0,0.000334255384,0.879,116.043,,105107732.0,740856.0,140211873.0,0,1,2,7,6,7,7,1,6,43300.0,,7,2,4,7
1.0,0.8986321249999999,10.0,-5.022,,4.826808999999999e-12,,0.000622835864,0.347,125.152,262000.0,22878351.0,93766.0,128201040.0,0,,2,8,7,3,8,1,7,3668.0,,8,2,1,8
5.0,,,,0.0261,0.0789535889999999,,0.0052680239999999,0.677,106.191,170493.0,44458549.0,276258.0,105775598.0,0,1,2,9,8,8,,,8,6509.0,4,9,2,2,
1.0,0.3548949119999999,1.0,,0.0301,5.1064811e-05,0.0,0.0009880479359999,0.612,164.001,203438.0,2419753.0,,15191393.0,0,,,10,,9,9,,9,1861.0,6,10,,3,4
3.0,0.6294227929999999,5.0,-5.173,0.0589,2.7818127000000002e-08,2.23e-06,0.0229063039999999,0.759,96.231,260400.0,86252134.0,357275.0,53372857.0,0,1,2,11,9,5,10,1,,9334.0,,11,,2,
2.0,0.144703125,6.0,-7.31,0.0341,0.0050884479999999,0.0,0.002406104,0.291,156.207,204640.0,26341526.0,83668.0,45956641.0,0,0,0,12,10,5,11,1,10,2923.0,7,12,5,2,10
0.0,0.0065392029999999,2.0,,,0.967361669,,0.001030301,0.213,132.731,,88490455.0,1939359.0,427523589.0,2,,2,13,11,10,12,3,11,3259.0,8,13,6,1,11
