iter	RMSE
0	2.802955569
1	2.749419128
2	2.701950172
3	2.661541134
4	2.623927999
5	2.591442784
6	2.561031132
7	2.535376377
8	2.508989532
9	2.485571246
10	2.464402638
11	2.445330652
12	2.427795881
13	2.411857265
14	2.396271957
15	2.379032953
16	2.366374779
17	2.35352961
18	2.339479077
19	2.327028325
20	2.316917946
21	2.307541891
22	2.298490088
23	2.288951853
24	2.280540464
25	2.272995915
26	2.264753525
27	2.258020128
28	2.251426009
29	2.245840023
30	2.240060121
31	2.234051311
32	2.228359439
33	2.223359086
34	2.218121671
35	2.212998177
36	2.209001417
37	2.203396486
38	2.199611286
39	2.195671284
40	2.191643475
41	2.188076461
42	2.184523557
43	2.18090851
44	2.178009511
45	2.174281279
46	2.170943518
47	2.168009957
48	2.165060641
49	2.161986399
50	2.158825575
51	2.156509708
52	2.153445606
53	2.151309769
54	2.149170327
55	2.146778167
56	2.144839055
57	2.142371131
58	2.139738481
59	2.137959804
60	2.135669761
61	2.133784957
62	2.132162566
63	2.129607925
64	2.128278105
65	2.126388642
66	2.124622731
67	2.123379565
68	2.122014318
69	2.120605855
70	2.118547553
71	2.116579526
72	2.114708989
73	2.113514672
74	2.112405392
75	2.110986157
76	2.109349908
77	2.108194368
78	2.107096481
79	2.10611185
80	2.10508172
81	2.104141302
82	2.103243447
83	2.102131557
84	2.10102244
85	2.099901956
86	2.099056397
87	2.098081215
88	2.097051158
89	2.096383455
90	2.095567941
91	2.093631224
92	2.092552344
93	2.091514361
94	2.090963096
95	2.090028923
96	2.088777086
97	2.088158332
98	2.086935644
99	2.086094172
100	2.085105074
101	2.084211075
102	2.083061597
103	2.082386739
104	2.081366832
105	2.079976978
106	2.079153682
107	2.07809024
108	2.077374633
109	2.076843213
110	2.076302393
111	2.075053087
112	2.07441992
113	2.073494233
114	2.072962466
115	2.072201822
116	2.071611378
117	2.071021381
118	2.070561825
119	2.069844631
120	2.069179126
121	2.068361261
122	2.067761156
123	2.067324943
124	2.066566521
125	2.066143593
126	2.065613222
127	2.064942149
128	2.064442853
129	2.063571538
130	2.062954498
131	2.062374339
132	2.06182053
133	2.061297463
134	2.060853636
135	2.060223063
136	2.059797238
137	2.059419837
138	2.058918453
139	2.058444854
140	2.057533355
141	2.05703531
142	2.056547688
143	2.056007875
144	2.055310864
145	2.054899177
146	2.054207533
147	2.053825131
148	2.053266592
149	2.05267584
150	2.052243475
151	2.051726619
152	2.051161587
153	2.050503831
154	2.050157624
155	2.049674769
156	2.049094138
157	2.048560159
158	2.048125374
159	2.047712993
160	2.047275853
161	2.046857067
162	2.046247822
163	2.045859999
164	2.04555927
165	2.045249037
166	2.04492121
167	2.044500378
168	2.044072864
169	2.043756704
170	2.043414911
171	2.043094781
172	2.042859903
173	2.042310011
174	2.042045449
175	2.041723329
176	2.041399379
177	2.040844669
178	2.040498648
179	2.040086471
180	2.039492944
181	2.038936715
182	2.03848947
183	2.038222751
184	2.037771593
185	2.037472917
186	2.037065757
187	2.036735178
188	2.036452672
189	2.036063179
190	2.035813277
191	2.035368046
192	2.035115086
193	2.034842508
194	2.034399845
195	2.034069402
196	2.033833174
197	2.033491945
198	2.033108448
199	2.03280101
200	2.032566512
201	2.032174737
202	2.031891524
203	2.031448633
204	2.031081213
205	2.030159159
206	2.029656364
207	2.029384752
208	2.029160946
209	2.02890924
210	2.028629448
211	2.028177564
212	2.027858687
213	2.027544094
214	2.026829493
215	2.026364657
216	2.02598401
217	2.025555377
218	2.025345032
219	2.025011853
220	2.024856637
221	2.024480589
222	2.024247066
223	2.023916245
224	2.023580025
225	2.023262007
226	2.02305279
227	2.022749276
228	2.022455043
229	2.02218417
230	2.021839295
231	2.021488973
232	2.02124508
233	2.020955102
234	2.02071136
235	2.020247933
236	2.019932446
237	2.019733284
238	2.019525427
239	2.019175762
240	2.018864323
241	2.018533521
242	2.018171763
243	2.017883756
244	2.01768329
245	2.017401021
246	2.017155348
247	2.016829166
248	2.016535937
249	2.016350724
250	2.015974281
251	2.01552767
252	2.015082144
253	2.014768405
254	2.014494005
255	2.014092313
256	2.013843814
257	2.013588158
258	2.013337919
259	2.013007969
260	2.012793014
261	2.012457889
262	2.012176058
263	2.011988718
264	2.011699782
265	2.011458003
266	2.011204869
267	2.010874364
268	2.010524241
269	2.010201102
270	2.009942711
271	2.009704509
272	2.009273458
273	2.009080577
274	2.008834639
275	2.008524977
276	2.008389127
277	2.008073116
278	2.007724396
279	2.007435996
280	2.007237385
281	2.007062395
282	2.0067905
283	2.006486774
284	2.006204329
285	2.006011679
286	2.005738432
287	2.005522077
288	2.005134515
289	2.004956854
290	2.004669182
291	2.004426041
292	2.004188808
293	2.003903702
294	2.003292179
295	2.003128119
296	2.002886773
297	2.002634251
298	2.002374471
299	2.002135942
300	2.001993404
301	2.001830873
302	2.001470373
303	2.001289899
304	2.001040278
305	2.000883342
306	2.00070211
307	2.000401138
308	2.000082454
309	1.999610982
310	1.999364038
311	1.999162935
312	1.998907867
313	1.998583859
314	1.998380157
315	1.998140038
316	1.997889818
317	1.997666575
318	1.997375288
319	1.99704778
320	1.99677914
321	1.996451771
322	1.996221192
323	1.995942292
324	1.995739834
325	1.995536034
326	1.99524596
327	1.994936101
328	1.994648285
329	1.994411312
330	1.994179974
331	1.993893201
332	1.993680598
333	1.993469645
334	1.99331408
335	1.993118296
336	1.992914133
337	1.992677653
338	1.992471776
339	1.992185163
340	1.992024845
341	1.991861981
342	1.991639015
343	1.991529474
344	1.991285965
345	1.991090129
346	1.990851383
347	1.990730113
348	1.990533901
349	1.990398286
350	1.990235718
351	1.990026065
352	1.989778543
353	1.989564999
354	1.989339484
355	1.989096212
356	1.988889262
357	1.988710571
358	1.988457022
359	1.988258917
360	1.988076874
361	1.98777179
362	1.987554274
363	1.987405651
364	1.987238778
365	1.986941647
366	1.98675751
367	1.986531213
368	1.986314223
369	1.986072643
370	1.985923513
371	1.985697614
372	1.985456299
373	1.985232224
374	1.985121849
375	1.984985975
376	1.984669948
377	1.984505554
378	1.984348506
379	1.98409884
380	1.983855347
381	1.983639996
382	1.983383192
383	1.983071942
384	1.982933995
385	1.982745572
386	1.982465467
387	1.982200733
388	1.982046435
389	1.981774567
390	1.981503003
391	1.981328261
392	1.98113877
393	1.980950352
394	1.98069322
395	1.980559355
396	1.980375393
397	1.980180715
398	1.979988404
399	1.979822505
400	1.979642722
401	1.979473208
402	1.979312907
403	1.979222263
404	1.979046267
405	1.978839259
406	1.978623381
407	1.978368248
408	1.97809331
409	1.977938535
410	1.97775121
411	1.977640575
412	1.977398178
413	1.977158313
414	1.97699637
415	1.97675889
416	1.976570718
417	1.97614482
418	1.975971616
419	1.975777216
420	1.975597849
421	1.975277706
422	1.975103342
423	1.9748145
424	1.974681328
425	1.974489403
426	1.974290701
427	1.974056879
428	1.973924024
429	1.97367931
430	1.97350109
431	1.973269039
432	1.97303437
433	1.972825423
434	1.972633909
435	1.972464827
436	1.972287183
437	1.972087053
438	1.971921412
439	1.971713143
440	1.971561771
441	1.971440997
442	1.971332505
443	1.971225079
444	1.971048626
445	1.97092281
446	1.970726024
447	1.970546365
448	1.970376372
449	1.970200006
450	1.97001112
451	1.969783748
452	1.969557494
453	1.96929367
454	1.969146105
455	1.96901569
456	1.968918795
457	1.968712093
458	1.968535012
459	1.968332313
460	1.968087258
461	1.967908772
462	1.967597676
463	1.967403101
464	1.967313239
465	1.967154693
466	1.966997186
467	1.966895524
468	1.966632431
469	1.966460993
470	1.966345401
471	1.966170306
472	1.965947435
473	1.965748359
474	1.965587129
475	1.965375552
476	1.965226132
