id,Danceability
17170,6
17171,6
17172,5
17173,5
17174,6
17175,7
17176,4
17177,4
17178,6
17179,4
17180,5
17181,5
17182,3
17183,6
17184,6
17185,5
17186,5
17187,2
17188,4
17189,4
17190,7
17191,7
17192,6
17193,6
17194,6
17195,7
17196,7
17197,7
17198,6
17199,4
17200,4
17201,5
17202,2
17203,2
17204,7
17205,6
17206,4
17207,2
17208,3
17209,4
17210,5
17211,4
17212,2
17213,7
17214,7
17215,6
17216,6
17217,6
17218,5
17219,6
17220,6
17221,2
17222,5
17223,5
17224,5
17225,4
17226,7
17227,4
17228,6
17229,4
17230,3
17231,5
17232,5
17233,3
17234,3
17235,4
17236,3
17237,3
17238,1
17239,5
17240,1
17241,4
17242,1
17243,4
17244,3
17245,3
17246,5
17247,7
17248,4
17249,6
17250,2
17251,6
17252,3
17253,5
17254,6
17255,4
17256,7
17257,8
17258,5
17259,3
17260,5
17261,6
17262,8
17263,7
17264,4
17265,6
17266,2
17267,6
17268,6
17269,7
17270,7
17271,7
17272,7
17273,6
17274,6
17275,7
17276,6
17277,5
17278,4
17279,4
17280,4
17281,7
17282,2
17283,5
17284,6
17285,6
17286,6
17287,3
17288,5
17289,5
17290,7
17291,4
17292,3
17293,6
17294,6
17295,7
17296,7
17297,6
17298,7
17299,7
17300,7
17301,5
17302,7
17303,3
17304,8
17305,5
17306,4
17307,6
17308,7
17309,5
17310,7
17311,7
17312,4
17313,6
17314,8
17315,7
17316,6
17317,6
17318,4
17319,5
17320,7
17321,3
17322,5
17323,2
17324,6
17325,4
17326,5
17327,4
17328,2
17329,7
17330,5
17331,5
17332,6
17333,3
17334,3
17335,4
17336,6
17337,4
17338,8
17339,7
17340,7
17341,3
17342,4
17343,2
17344,1
17345,3
17346,7
17347,6
17348,7
17349,4
17350,7
17351,6
17352,6
17353,6
17354,4
17355,7
17356,6
17357,7
17358,5
17359,7
17360,7
17361,7
17362,6
17363,8
17364,7
17365,7
17366,6
17367,7
17368,6
17369,6
17370,7
17371,7
17372,4
17373,4
17374,2
17375,5
17376,5
17377,1
17378,1
17379,6
17380,7
17381,5
17382,5
17383,7
17384,8
17385,4
17386,5
17387,5
17388,7
17389,6
17390,7
17391,7
17392,8
17393,6
17394,6
17395,7
17396,8
17397,5
17398,5
17399,4
17400,5
17401,3
17402,6
17403,5
17404,5
17405,7
17406,2
17407,4
17408,4
17409,7
17410,1
17411,6
17412,2
17413,6
17414,6
17415,5
17416,6
17417,7
17418,5
17419,8
17420,3
17421,6
17422,3
17423,2
17424,7
17425,6
17426,6
17427,5
17428,1
